Con,Contp,PP,PPName,Reg,AgtId,Ver,Agt,Dat,Status,Lgt,N_characters,Agtp,Stage,StageSub,Part,ThrdPart,OthAgr,Loc1ISO,Loc2ISO,Loc1GWNO,Loc2GWNO,UcdpCon,UcdpAgr,PamAgr,CowWar,GCh,GChRhet,GChAntid,GChSubs,GChOth,GDis,GDisRhet,GDisAntid,GDisSubs,GDisOth,GAge,GAgeRhet,GAgeAntid,GAgeSubs,GAgeOth,GMig,GMigRhet,GMigAntid,GMigSubs,GMigOth,GRa,GRaRhet,GRaAntid,GRaSubs,GRaOth,GRe,GReRhet,GReAntid,GReSubs,GReOth,GInd,GIndRhet,GIndAntid,GIndSubs,GIndOth,GOth,GOthRhet,GOthAntid,GOthSubs,GOthOth,GRef,GRefRhet,GRefSubs,GRefOth,GSoc,GSocRhet,GSocAntid,GSocSubs,GSocOth,GeWom,GeMe,GeMeNu,GeMeOth,GeLgbti,GeLgbtiPos,GeLgbtiNeg,GeFa,StDef,StGen,StCon,StSd,StRef,StSym,StInd,StUni,StBor,StXbor,Pol,PolGen,PolNewInd,PolNewTemp,ConRen,Cons,Ele,ElecComm,PolPar,PolParTrans,PolParOth,Civso,Tral,Pubad,Polps,PpsSt,PpsSub,PpsEx,PpsOro,PpsOthPr,PpsVet,PpsAut,PpsInt,PpsOth,Terps,TpsSub,TpsLoc,TpsAut,TpsOth,Eps,EpsRes,EpsFis,EpsOth,Mps,MpsMe,MpsJt,MpsPro,MpsOth,HrGen,EqGen,HrDem,Prot,ProtCiv,ProtGrp,ProtLgl,ProtOth,HrFra,HrfSp,HrfBor,HrfTinc,HrfOth,HrCp,CprLife,CprTort,CprEq,CprSlav,CprLib,CprDet,CprFmov,CprFspe,CprFass,CprTria,CprPriv,CprVote,CprReli,CprOth,HrSec,SerProp,SerWork,SerHeal,SerEdu,SerStdl,SerShel,SerSs,SerCult,SerOth,HrNi,HrNiMe,HrNiNe,HrNiOth,HrIi,HrIiMon,HrIiBod,HrIiOth,HrMob,HrDet,Med,MedGov,MedSubs,MedLog,MedOth,HrCit,CitGen,CitRights,CitDef,CitOth,JusCr,JusCrSp,JusCrSys,JusCrPow,JusEm,JusJu,JusPri,JusTra,Dev,DevSoc,DevHum,DevInfra,NEC,NatRes,IntFu,Bus,Tax,TaxPo,TaxRef,TaxOth,Ban,CenBan,BanPers,BanInt,BanXb,LaRef,LaRefMan,LaRefRet,LaRefOth,LaNom,LaCH,LaCHTa,LaCHIt,LaCHPro,LaCHOth,LaEn,Wat,SsrGua,Ce,CeProv,CeGen,SsrPol,SsrArm,SsrDdr,DdrDemil,DdrProg,SsrInt,SsrPsf,SsrFf,Cor,SsrCrOcr,SsrDrugs,Terr,TjGen,TjAm,TjAmPro,TjSan,TjPower,TjAmBan,TjCou,TjJaNc,TjJaIc,TjMech,TjPrire,TjVet,TjVic,TjMis,TjRep,TjRSym,TjRMa,TjNR,ImUN,ImOth,ImRef,ImPK,ImE,ImSrc
Afghanistan,Government/territory,2,"Afghanistan: 2000s Post-intervention process","Europe and Eurasia",2232,3,"Resolution of Intra Afghan Peace Conference in Doha, Qatar (Doha Roadmap for Peace)",2019-07-08,"Multiparty signed/agreed",2,5235,Intra,Pre,PreMix,"Stated to be Participants to the Afghan Peace Conference.
(secondary sources suggest that 62 participants were present, 17 of whom were members of the Taliban. On the Afghan-Kabul side, some participants were women). Same source suggests that the resolution was drafted by 6 Kabul representatives and 3 of the Taliban. ","Qatar
German Government 
United Nations
USA
Countries in the region ","Page 2, 8:
8. We acknowledge and approve the recent resolution of intra afghan conference held on 6 Feb 2019 in Moscow and urge the Islamic Conference. UN, Security Council, neighboring countries to support the peace conferences held in Moscow and Doha",AFG,,700,,333,NA,NA,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"Angola/Cabinda ",Government/territory,137,"Cabinda process","Africa (excl MENA)",1336,1,"Memorandum of Peace and Understanding in Cabinda Province",2006-08-01,"Multiparty signed/agreed",75,194252,Intra,SubComp,FrAg,"Note: The agreement does not have any signatories, however the preamble states that the peace plan is the product of the Government of the Republic of Angola and the
Cabinda Forum for Dialogue","Witnessed by representatives of the Episcopal Conference of Angola and Sao Tome,
representatives of the Council of Christian Churches of Angola and representatives of the Inter-Ecclesiastical Council for Peace in Angol.",,AGO,,540,,387,1353,,907,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,3,1,0,0,3,3,2,1,1,1,0,1,1,1,3,0,1,1,0,0,0,0,0,1,3,0,1,1,0,3,1,1,0,3,1,1,1,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,3,3,1,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,0,1,1,0,2,1,0,2,2,3,0,1,0,1,0,0,1,2,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1
"Central African Republic",Government/territory,14,"CAR: coups and rebellions process","Africa (excl MENA)",2246,4,"Declaration of N'Djamena",2013-04-18,"Agreement with subsequent status",8,11447,InterIntra,Pre,PreMix,"Not signed, agreement mentions the following parties as having produced it:

Page 1, Untitled preamble (Declaration):
At the invitation of the President of the Economic Community of Central African States
(ECCAS), His Excellency IDRISS DEBY ITNO, President of the Republic of Chad, the Fourth
Extraordinary Summit of Heads of State and Government was held in N'Djamena, on April 18,
2013, to examine the situation prevailing in the Central African Republic. H.E.M. Jacob Zuma,
President of the Republic of South Africa also participated in the Summit as a guest.


Page 1, Untitled preamble (Declaration): 
The Heads of State and Government, members of the ECCAS [CEEAC, Fr.]


Page 6, minutes:
At the invitation of the President of the Economic Community of Central African States
(ECCAS), His Excellency IDRISS DEBY ITNO, President of the Republic of Chad, the Fourth
Extraordinary Summit of Heads of State and Government was held in N'Djamena, on April 18,
2013, to examine the situation prevailing in the Central African Republic.
The following took part in this Summit,
- His Excellency Idriss DEBY ITNO, President of the Republic of Chad, President in office of ECCAS;
- His Excellency Denis SASSOU NGUESSO President of the Republic of the Congo;
- His Excellency Ali BONGO ONDIMBA, President of the Gabonese Republic;
- His Excellency Jacob ZUMA, President of the Republic of South Africa;
- His Excellency Amadou Ali, Deputy Prime Minister, Minister Delegate at the Presidency of the Republic Responsible for Relations with the Assemblies, Republic of Cameroon, 
- His Excellency Raymond Tashibanda, Minister of Foreign Affairs, International Cooperation
and Francophonie, Democratic Republic of Congo 
- His Excellency AGAPITO MBA MOKUY Minister for Foreign Affairs of the Republic of Equatorial Guinea;
His Excellency ISSIFOU Kogui Ndouro, Minister of State in Charge of Presidential Affairs, Republic of Benin
His Excellency Sébastien Fernandes, Ambassador of Angola to Chad, Republic of Angola; 
- His Excellency Nicolas TIANGAYE, Prime Minister of the Central African Republic;
As well as Mr. Nassour GUELENGDOUKSIA OUAIDOU, Secretary-General of ECCAS,","Page 6, minutes:
The Summit was held in the presence of the Representatives of the Secretary-General of the United Nations, the Chairperson of the Commission of the African Union, the President of the Commission of the European Union, the Secretary-General of the International Organization of La Francophonie, the United States of America and France.","Page 1, untitled preamble of the Declaration: 
Ceasefire Agreement
Libreville Political Agreement of January 11, 2013",CAF,,482,,416,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,1,0,0,0,0,1,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
Comoros/Anjouan,Government/territory,15,"Comoros-Anjouan islands peace process","Africa (excl MENA)",1334,1,"Comoros's Constitution of 2001",2001-12-23,"Multiparty signed/agreed",8,24888,Intra,SubComp,FrCons,"The Government of Comoros",,"- The General Agreement on National Reconciliation (signed in Fomboni, February 17, 2001).
",COM,,581,,407,,,,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,3,0,1,0,0,3,2,0,1,0,1,1,0,0,3,1,0,1,1,0,1,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Georgia/Russia/Abkhazia,Government/territory,43,"Abkhazia peace process","Europe and Eurasia",1794,1,"Statement of the State Commissions of Abkhazia and Georgia on Search for the Persons Missing without Trace",2000-07-11,"Multiparty signed/agreed",1,1828,Intra,Pre,Conf,"On behalf of Abkhaz side Otar Kakalia
On behalf of Georgian side Vladimir Doborjginidze  ",,,GEO,RUS,372,365,392,,,882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,1
Georgia/Russia/Abkhazia,Government/territory,43,"Abkhazia peace process","Europe and Eurasia",1803,1,"Statement of the State Commissions of Abkhazia and Georgia on Search for the Persons Missing without Trace",2000-01-19,"Multiparty signed/agreed",1,1626,Intra,Pre,Conf,"On behalf of the Abkhaz Side Mr. Otar Kakalia; 
 On behalf of the Georgian Side Mr. Avtandil Ioseliani",,,GEO,RUS,372,365,392,,,882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,1
India/Bodoland,Government/territory,50,"India Bodoland peace process","Asia and Pacific",652,1,"Memorandum of Settlement on Bodoland Territorial Council",2003-02-10,"Multiparty signed/agreed",7,18500,Intra,SubPar,MultIss,"(Hagrama Basumatary) Chairman, Bodo Liberation Tigers
(P K Dutta) Chief Secretary, Govt. of Assam
(R C A Jain, Secretary (BM), Ministry of Home Affairs, Government of India
 
 
","Signed on 10th February, 2003 at New Delhi in the presence of Shri L.K. Advani, Hon’ble Deputy Prime Minister of India and Shri Tarum Gogoi, Chief Minister of Assam.",,IND,,750,,421,,,,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,3,0,0,1,0,3,0,0,1,0,3,0,1,0,2,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,2,0,1,1,0,3,2,0,0,0,0,0,0,2,3,0,1,1,1,1,0,1,0,1,3,0,1,0,0,3,1,0,0,1,0,0,1,0,0,3,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,3,2,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,2,1,2,0,1,0,1,0,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
India/Darjeeling,Government/territory,30,"India-Darjeeling peace process","Asia and Pacific",1716,1,"Memorandum of Agreement on the Gorkha Territorial Administration",2011-07-18,"Multiparty signed/agreed",9,23812,Intra,SubComp,FrAg,"(Dr. G.D. Gautama) Additional Chief Secretary, Home & Hill Affairs Department, Government of West Bengal for and on behalf of the Government of West Bengal;
(Shri Rooshan Giri ) General Secretary, Gorkha Janmukti Morcha, for and on behalf of the Gorkha Janmukti Morcha;
(Shri K.K. Pathak) Joint Secretary to the Government of India Ministry of Home Affairs, for and on behalf of the Government of India;",,"Page 1,
... Whereas all issues including issues relating to transfer of subjects to the new Body have been agreed in various tripartite meetings at the official level; and",IND,,750,,NA,NA,NA,NA,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,3,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1
Indonesia/Aceh,Government/territory,55,"Indonesia-Aceh peace process","Asia and Pacific",325,1,"Cessation of Hostilities Framework Agreement between the Government of the Republic of Indonesia and the Free Aceh Movement",2002-12-09,"Multiparty signed/agreed",6,15498,Intra,Cea,CeaMix,"For the Government of the Republic of Indonesia, Amb. Mr. S. Wiryono; For the Leadership of the Free Aceh Movement Dr. Zaini Abdullah
","Witnessed by Henry Dunant Centre for Humanitarian Dialogue (HDC), Mr. Martin Griffiths","10 May 2002 Joint Statement; ",IDN,,850,,366,1111,,912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Indonesia/Aceh,Government/territory,55,"Indonesia-Aceh peace process","Asia and Pacific",108,1,"Agreement Reached by both Field Commanders of the RI and the GAM",2001-02-10,"Multiparty signed/agreed",2,2433,Intra,Cea,Ceas,"Representatives of the GAM, On behalf of Field Commanders of the AGAM,
1. TKG. AMRI BIN ABDUL WAHAB
2. TGK. SAIFUL BIN MUHAMMAD ALI

Representatives of the Government of the RI on Behalf of Field Commanders of the Aceh Police,
1. KOM. BES. DRS. SUYITNO
2. KOM. BES. POL. DRS. MANAHAN DAULAY

Witnessed by the Joint Committee of Security Modality of the RI and the GAM
Representative of the Free Aceh Movement (GAM
Tgk. Nashiruddin bin Ahmed

Representative of the Government of the RI
Kom. Bes. Drs. Ridhwan Karim","The meeting was facilitated by Henry Dunant Center (HDC) ",,IDN,,850,,366,,,912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
